5812552,JSYZNANCY,1,1,30,943,2012-10-14 17:49:00,江苏 扬州,2020-11-13 14:31:01,保养手册上有
199920269,湖州车友f2kgls,1,0,0,2,2020-10-02 09:57:13,浙江 杭州,2020-10-04 15:46:27,你这写的真不错，不过怎么尽遇到好牌子啊。五个六，五个九，哈哈
8168691,川_子,1,3,13,399,2013-07-29 13:23:00,江苏 南京,2020-10-04 15:52:46,湖州车友f2kgls2020/10/0415:46:27发表在沙发你这写的真不错，不过怎么尽遇到好牌子啊。五个六，五个九，哈哈哈哈哈，有种运气叫PS
173989312,吉吉大哥哥哥哥,1,0,3,127,2019-10-17 19:21:00,湖南 长沙,2020-10-04 15:56:55,哈哈帅的
4397334,晓云天,1,0,49,1897,2011-10-26 14:07:00,江苏 南京,2020-10-04 17:23:53,和我同款同色，不过我是在你没去的中升提的车。
86052161,徐徐910,1,0,0,45,2018-11-16 11:41:00,江苏 南京,2020-10-04 18:00:36,幻夜银太帅了
10421250,龙C88888,1,7,1208,8072,2014-05-02 20:40:00,北京 ,2020-10-04 18:15:34,XC60的尾部总有一种说不出的感觉
35411211,y0068,1,0,19,227,2016-12-10 19:46:00,江苏 南京,2020-10-04 18:18:27,你还有个关爱钥匙，我的怎么没有啊？难道智逸没有？
8168691,飞沙18151,1,1,34,1.9万,2012-11-19 22:13:00,山西 太原,2020-10-04 18:20:59,龙C888882020/10/0418:15:34发表在6楼XC60的尾部总有一种说不出的感觉我瞅着还行，感觉挺帅的
8168691,技能君233,1,0,5,155,2016-03-25 17:47:00,山东 青岛,2020-10-04 18:21:09,y00682020/10/0418:18:27发表在7楼你还有个关爱钥匙，我的怎么没有啊？难道智逸没有？不了解了啊，问问销售看看
6000273,霸气大狮子,1,0,44,829,2014-01-07 13:09:00,山东 淄博,2020-10-04 20:17:27,不错
26376561,南京车友ktkun7,1,0,0,5,2014-12-28 14:58:00,江苏 南京,2020-10-04 20:44:12,同款同色同第一批90后新车记得调整胎压，出厂的胎压有点高，调整之后就没那么颠了
9372641,忘记用户名和密码,1,126,173,1715,2018-01-30 09:23:00,云南 昆明,2020-10-04 20:51:02,那是个x5
14123303,PLA71146,1,0,6,80,2015-05-15 09:51:00,江苏 连云港,2020-10-04 21:23:09,好贴，楼主能方便私信下落地价吗？帮忙参考下，谢谢了
173989312,巴图的爸爸,1,0,5,336,2014-11-16 19:55:00,广东 其它,2020-10-04 21:30:31,楼主，两个钥匙中间的是什么东东？
67879104,LinJun66,1,0,0,5,2018-03-08 15:20:00,广东 广州,2020-10-05 00:42:02,此主帖已经被忘记用户名和密码设为精华帖帖子标题：30而已，“60”不惑，XC60提车小记精华理由：符合精华标准
17410946,GENESIS王,1,24,73,1.4万,2017-07-16 23:51:00,山东 济宁,2020-10-05 04:18:31,综合油耗多少？
